und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C1159576,Proton Transport,Cell Function
C1159690,Sodium Ion Transport,Cell Function
C1157720,Melanin Biosynthetic Process,Molecular Function
C0262977,Achromia Of Skin,Sign or Symptom
C0232188,Normal Heart Rate,Finding
C0035235,Respiratory Syncytial Virus Infections,Disease or Syndrome
C1313983,Acute Contagious Conjunctivitis,Disease or Syndrome
C0034212,Pyoderma,Disease or Syndrome
C0421163,Staphylococcus Carrier,Finding
C0555970,Nasal Infection,Disease or Syndrome
C0522248,Inadequate Analgesia,Finding
C0342543,Precocious Puberty; Central,Disease or Syndrome
C0271528,Isosexual Precocious Puberty,Disease or Syndrome
C1153457,Atp-Activated Inward Rectifier Potassium Channel Activity,Molecular Function
C0020452,Hyperemia,Pathologic Function
C0155093,Localized Vascularization Of Cornea,Disease or Syndrome
C2062908,Gout Acute,Disease or Syndrome
C0339170,Fungal Conjunctivitis,Disease or Syndrome
C1262117,Fungal Keratitis,Disease or Syndrome
C0276762,Mycotic Keratitis Due To Fusarium Solani,Disease or Syndrome
C0015405,Fungal Eye Infections,Disease or Syndrome
C0085407,Microsporidiosis,Disease or Syndrome
C1579432,Meglitinides,Pharmacologic Substance
C0011875,Diabetic Angiopathies,Disease or Syndrome
C0853897,Diabetic Cardiomyopathies,Disease or Syndrome
C0581125,Moderate Asthma,Finding
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Neoplastic Process
C1292758,Precursor T-Cell Lymphoblastic Lymphoma,Neoplastic Process
C0920028,Leukaemia Recurrent,Neoplastic Process
C0744471,Gram-Negative Bacteraemia,Disease or Syndrome
C0232920,Sterile (Qualifier Value),Qualitative Concept
C0549465,Observation Of Tone Of Skeletal Muscle,Finding
C0742746,Congestive Heart Failure Decompensated,Disease or Syndrome
C2712054,Actual Resting Dyspnea,Sign or Symptom
C0086879,Pulmonary Capillary Wedge Pressure,Clinical Attribute
C0030783,Pellagra,Disease or Syndrome
C0027996,Niacin,Pharmacologic Substance
C0542153,Increased Platelet Aggregation [Pe],Molecular Function
C0011268,Senile Dementia,Mental or Behavioral Dysfunction
C0022118,Transient Ischemia,Disease or Syndrome
C0012561,Diphyllobothriasis,Disease or Syndrome
C0277027,Diphyllobothrium Latum Infection,Disease or Syndrome
C0343978,Intestinal Fluke Infection,Disease or Syndrome
C0152073,Taenia Saginata Infection,Disease or Syndrome
C0013578,Ectoparasitic Infestations,Disease or Syndrome
C1152085,Chitin Synthase Activity,Molecular Function
C0438437,Ruptured Berry Aneurysm,Acquired Abnormality
C0038525,Subarachnoid Hemorrhage,Disease or Syndrome
C0276865,Infection By Cryptosporidium Parvum,Disease or Syndrome
C3280065,Hypertelorism; Preauricular Sinus; Punctal Pits; And Deafness,Disease or Syndrome
C0581366,Recurrent Cystitis,Disease or Syndrome
C0009253,Coitus,Organism Function
C0009062,Clostridium Infections,Disease or Syndrome
C1112259,Intraoperative Hypotension,Injury or Poisoning
C0278148,Throbbing Pain,Sign or Symptom
C1516360,Cell Stress Process,Cell or Molecular Dysfunction
C1168146,Transdermal Contraception,Therapeutic or Preventive Procedure
C0544617,Neurogenic Shock (Disorder),Pathologic Function
C0595862,Vasodilation Disorder,Pathologic Function
C0729766,Infection Of Oral Cavity; Teeth And Salivary Gland,Disease or Syndrome
C0178238,Intestinal Infectious Disease,Disease or Syndrome
C0006848,Mucocutaneous Candidiasis,Disease or Syndrome
C0155365,Disorder Of Vitreous Body,Disease or Syndrome
C1373162,Ultraviolet B Radiation Absorption,Physiologic Function
C1302255,Toxicity Due To Chemotherapy,Injury or Poisoning
C0001430,Adenoma,Neoplastic Process
C0029888,Suppurative Otitis Media,Disease or Syndrome
C0236780,Mixed Bipolar I Disorder,Mental or Behavioral Dysfunction
C1150171,Endopeptidase Activity,Molecular Function
C2888183,Primary Focal Hyperhidrosis Of Axilla,Disease or Syndrome
C0241158,Scar Tissue,Finding
C0724656,Opium;Powdered,Pharmacologic Substance
C0043096,Body Weight Decreased,Finding
C0005910,Body Weight,Organism Attribute
C0043094,Weight Gain,Finding
C1149836,Lipase Activity,Molecular Function
C1158479,Dna Modification Process,Genetic Function
C0036330,Schistosomiasis Mansoni,Disease or Syndrome
C0597297,Protein Degradation; Metabolic,Molecular Function
C0013911,Emaciation,Sign or Symptom
C0018273,Growth Disorders,Pathologic Function
C0427008,Stiffness,Sign or Symptom
C0005001,Benign Prostatic Hypertrophy,Pathologic Function
C0277232,Infection By Cyathostomum,Disease or Syndrome
C0277241,Infection By Cylicocyclus,Disease or Syndrome
C0277239,Infection By Cylicodontophorus,Disease or Syndrome
C0277240,Infection By Cylicostephanus,Disease or Syndrome
C0277237,Infection By Gyalocephalus,Disease or Syndrome
C0277303,Infection By Strongyloides Westeri,Disease or Syndrome
C0277230,Infection By Triodontophorus,Disease or Syndrome
C0013926,Air Embolism,Injury or Poisoning
C0017086,Gangrene,Disease or Syndrome
C1527348,Brain Hypoxia,Pathologic Function
C0034069,Pulmonary Fibrosis,Disease or Syndrome
C0271907,Acquired Aplastic Anemia,Disease or Syndrome
C0948168,Bone Marrow Toxicity,Disease or Syndrome
C0702159,Constitutional Aplastic Anemia,Disease or Syndrome
C0302085,Decreased Erythrocyte Production,Pathologic Function
C0178416,Hypoplastic Anemia,Disease or Syndrome
C0026987,Myelofibrosis,Neoplastic Process
C0426649,Bowel Spasm,Sign or Symptom
C1290992,Smooth Muscle Spasm,Finding
C0520766,Bacterial Hemorrhagic Septicemia,Disease or Syndrome
C0016867,Furunculosis,Disease or Syndrome
C1140999,Contraction (Finding),Pathologic Function
C1384485,Normal Delivery,Finding
C0516816,Milk Ejection (Let-Down) Reflex,Finding
C3161762,Postpartum Uterus,Finding
C0042130,Uterine Contraction,Organ or Tissue Function
C1568868,Oral Mucositis,Disease or Syndrome
C0152021,Congenital Heart Disease,Congenital Abnormality
C1409052,Nutrient; Excess,Disease or Syndrome
C0149521,Pancreatitis; Chronic,Disease or Syndrome
C1556672,Pancreas Exocrine Enzyme Deficiency Adverse Event,Finding
C0030286,Pancreatic Diseases,Disease or Syndrome
C0341491,Pancreatic Duct Obstruction,Disease or Syndrome
C0085616,Vasospasm,Pathologic Function
C2316810,Chronic Kidney Disease Stage 5,Disease or Syndrome
C0264009,Osteodystrophy,Congenital Abnormality
C0301619,Exocrine Gland Secretion,Organ or Tissue Function
C0870495,Endocrine Gland Secretion,Organ or Tissue Function
C0596290,Cell Proliferation,Cell Function
C0018078,Gonococcal Urethritis,Disease or Syndrome
C1152681,Tumor Necrosis Factor Receptor Activity,Molecular Function
C1152812,Growth Hormone Receptor Activity,Molecular Function
C1753359,Insulin-Like Growth Factor Activity,Molecular Function
C0524620,Metabolic Syndrome X,Disease or Syndrome
C0812413,Malignant Pleural Mesothelioma,Neoplastic Process
C0037974,Spirochaetales Infections,Disease or Syndrome
C0005833,Blood Sedimentation,Laboratory Procedure
C0279780,Refractory Hairy Cell Leukemia,Neoplastic Process
C0231441,Immobile,Finding
C0024534,Malaria; Cerebral,Disease or Syndrome
C0042384,Vasculitis,Disease or Syndrome
C2258556,Pepsin Activity,Molecular Function
C3156877,Ampa Receptor Activity,Molecular Function
C0740985,Acute Anaemia,Disease or Syndrome
C0597157,Oxygen Transport,Organ or Tissue Function
C1149092,Oxygen Transporter Activity,Molecular Function
C1319512,Echocardiogram Equivocal,Finding
C2917331,Contrast Agent For Ultrasound Imaging,Pharmacologic Substance
C0677946,Stable Disease,Finding
C0035400,Reye Syndrome,Disease or Syndrome
C0040485,Torticollis,Sign or Symptom
C0007202,Cardiopulmonary Bypass,Therapeutic or Preventive Procedure
C0178324,Vascular System Injuries,Injury or Poisoning
C0007780,Cerebral Embolism,Disease or Syndrome
C0333205,Mural Thrombus,Disease or Syndrome
C0398623,Thrombophilia,Disease or Syndrome
C0270851,Benign Neonatal Epilepsy,Disease or Syndrome
C0020433,Hyperbilirubinemia,Disease or Syndrome
C0009952,Febrile Convulsions,Disease or Syndrome
C0024588,Malignant Essential Hypertension,Disease or Syndrome
C0005694,Bladder Neck Obstruction,Disease or Syndrome
C0023212,Left-Sided Heart Failure,Disease or Syndrome
C0573196,Overdose Of Cocaine,Injury or Poisoning
C0221154,Paroxysmal Hypertension,Sign or Symptom
C1371464,Coronary Arterial Vasoconstriction,Organ or Tissue Function
C0038435,Stress,Finding
C0009014,Clonidine,Pharmacologic Substance
C1151208,Carbonyl Reductase (Nadph) Activity,Molecular Function
C0018808,Heart Murmur,Finding
C0265034,Internal Hemorrhoids,Disease or Syndrome
C0033117,Priapism,Disease or Syndrome
C0524850,Neurosurgical Procedures,Therapeutic or Preventive Procedure
C0014527,Epidermolysis Bullosa,Congenital Abnormality
C0338657,Age-Associated Memory Impairment,Disease or Syndrome
C0338656,Impaired Cognition,Mental or Behavioral Dysfunction
C0239313,Exertional,Sign or Symptom
C0019825,Hoarseness,Sign or Symptom
C0237996,Anticholinergic Toxicity,Injury or Poisoning
C0565637,Poisoning By Cns Drug,Injury or Poisoning
C1275047,Radiation-Induced Xerostomia,Disease or Syndrome
C1842032,Motor And Vocal Tics,Finding
C1328480,Partial Bowel Obstruction,Disease or Syndrome
C0178499,Base,Chemical Viewed Functionally
C1511460,Cxcr4 Signaling Pathway,Molecular Function
C0020438,Hypercalciuria,Disease or Syndrome
C0153594,Malignant Neoplasm Of Testis,Neoplastic Process
C0017412,Genital Diseases; Male,Disease or Syndrome
C0030354,Papilloma,Neoplastic Process
C0332803,Surgical Wound,Injury or Poisoning
C0014070,Encephalomyelitis,Disease or Syndrome
C0854216,Encephalitis Protozoal,Disease or Syndrome
C0036231,Sarcocystosis,Disease or Syndrome
C0746882,Chronic Neutropenia,Disease or Syndrome
C0276758,Fusariosis,Disease or Syndrome
C0037280,Skin Diseases; Parasitic,Disease or Syndrome
C0162628,Skin Diseases; Viral,Disease or Syndrome
C1150137,Caspase-1 Activity,Molecular Function
C0152069,Echinococcus Multilocularis Infection,Disease or Syndrome
C1331532,Fasciola Hepatica Infection,Disease or Syndrome
C0277005,Infection By Opisthorchis Viverrini,Disease or Syndrome
C0277061,Infection By Taenia Pisiformis,Disease or Syndrome
C0277062,Infection By Taenia Taeniaeformis,Disease or Syndrome
C0276926,Schistosoma Hematobium Infection,Disease or Syndrome
C0036329,Schistosomiasis Japonica,Disease or Syndrome
C0857944,Schistosoma Mekongi Infection,Disease or Syndrome
C0010678,Cysticercosis,Disease or Syndrome
C0021832,Intestinal Diseases; Parasitic,Disease or Syndrome
C0035440,Acute Rheumatic Heart Disease,Disease or Syndrome
C0021655,Insulin Resistance,Pathologic Function
C0857305,Thrombocytopenic Purpura,Disease or Syndrome
C0040147,Thyroiditis,Disease or Syndrome
C0152915,Acute Miliary Tuberculosis,Disease or Syndrome
C0564747,Acute/Subacute Carditis,Disease or Syndrome
C0151467,Addisonian Crisis,Disease or Syndrome
C0002879,Anemia; Hemolytic; Acquired,Disease or Syndrome
C1761609,Aspiration Pneumonitis,Disease or Syndrome
C0005138,Berylliosis,Injury or Poisoning
C0008513,Chorioretinitis,Disease or Syndrome
C0008526,Choroiditis,Disease or Syndrome
C0949116,Congenital Hypoplastic Anemia,Disease or Syndrome
C0877221,Decreased Erythroid Precursor Production,Disease or Syndrome
C0011633,Dermatomyositis,Disease or Syndrome
C0014742,Erythema Multiforme,Disease or Syndrome
C0011606,Exfoliative Dermatitis,Disease or Syndrome
C0039483,Giant Cell Arteritis,Disease or Syndrome
C0022073,Iridocyclitis,Disease or Syndrome
C0023448,Lymphoid Leukemia,Neoplastic Process
C0024799,Marginal Ulcer,Acquired Abnormality
C0029077,Ophthalmia; Sympathetic,Disease or Syndrome
C0029134,Optic Neuritis,Disease or Syndrome
C0036830,Serum Sickness,Disease or Syndrome
C0036202,Sarcoidosis,Disease or Syndrome
C0154301,Acquired Thrombocytopenia,Disease or Syndrome
C0242459,Simple Pulmonary Eosinophilia,Disease or Syndrome
C0085932,Skin Diseases; Bullous,Disease or Syndrome
C0038325,Stevens-Johnson Syndrome,Disease or Syndrome
C1406948,Nonsuppurative; Thyroiditis,Disease or Syndrome
C2728277,Lymphoproliferative Disease Autoimmune,Disease or Syndrome
C0268108,Chronic Gouty Arthritis,Disease or Syndrome
C0744466,Gout Tophaceous,Disease or Syndrome
C0027927,Neurosyphilis,Disease or Syndrome
C0853662,Oestrogen Deficiency,Disease or Syndrome
C0235480,Paroxysmal Atrial Fibrillation,Disease or Syndrome
C0741292,Paroxysmal Atrial Flutter,Pathologic Function
C0041969,Urethral Diseases,Disease or Syndrome
C0154143,Toxic Multinodular Goiter,Disease or Syndrome
C0040586,Tracheobronchitis,Disease or Syndrome
C0596407,Dental Agent,Pharmacologic Substance
C0029433,Osteogenesis,Organ or Tissue Function
C1154546,Abscisic Acid Mediated Signaling Pathway,Molecular Function
C0151332,Active Tuberculosis,Disease or Syndrome
C0936215,Vitamin B 6 Deficiency,Disease or Syndrome
C0031117,Peripheral Neuropathy,Disease or Syndrome
C0853879,Breast Cancer Invasive Nos,Neoplastic Process
C0346629,Malignant Neoplasm Of Large Intestine,Neoplastic Process
C2741638,Stress Ulcer,Disease or Syndrome
C1566590,Delayed Graft Function,Pathologic Function
C0730400,Solid Organ Transplant,Therapeutic or Preventive Procedure
C1398083,Agitated; State,Sign or Symptom
C0014457,Eosinophilia,Disease or Syndrome
C1149208,Interleukin-5 Receptor Activity,Molecular Function
C2347612,Child-Pugh Classification,Intellectual Product
C0001487,Adenovirus Infections; Human,Disease or Syndrome
C0043124,West Nile Fever,Disease or Syndrome
C3267073,Autoinflammatory Disease,Disease or Syndrome
C0221423,Illness (Finding),Finding
C0042165,Anterior Uveitis,Disease or Syndrome
C0001807,Aggressive Behavior,Mental or Behavioral Dysfunction
C3494652,Severe Dementia,Mental or Behavioral Dysfunction
C0233522,Inappropriate Behavior,Mental or Behavioral Dysfunction
C0882818,Cell Positive For Cd20 Antigen,Cell
C0349081,Dementia In Parkinson'S Disease,Disease or Syndrome
C0729521,Bacterial Gastrointestinal Infectious Disease,Disease or Syndrome
C0752180,Central Nervous System Bacterial Infections,Disease or Syndrome
C0035869,Rotavirus Infections,Disease or Syndrome
C0035404,Rh Isoimmunization,Disease or Syndrome
C2245060,Rhinovirus Protease 3C Activity,Molecular Function
C1283620,Sucrase-Isomaltase Deficiency; Congenital,Disease or Syndrome
C0543515,Sucrase Deficiency Disease,Disease or Syndrome
C0012242,Digestive System Disorders,Disease or Syndrome
C1753309,Glycine Receptor Activity,Molecular Function
C1153060,Glycine Transporter Activity,Molecular Function
C0015469,Facial Paralysis,Disease or Syndrome
C0013170,Drug Habituation,Mental or Behavioral Dysfunction
C3151951,Exocrine Pancreatic Dysfunction,Finding
C0678872,Exocrine Pancreas Function,Organ or Tissue Function
C0017150,Gastrinoma,Neoplastic Process
C0233574,Hyperkinetic,Qualitative Concept
C0026650,Movement Disorders,Disease or Syndrome
C2244389,Intermediate Conductance Calcium-Activated Potassium Channel Activity,Molecular Function
C1152756,Thromboxane Receptor Activity,Molecular Function
C0013336,Dwarfism,Congenital Abnormality
C0031572,Phobia; Social,Mental or Behavioral Dysfunction
C0520676,Premenstrual Dysphoric Disorder,Mental or Behavioral Dysfunction
C0031707,Phosphorus Metabolism Disorders,Disease or Syndrome
C0085655,Polymyositis,Disease or Syndrome
C0001707,Aerophagy,Mental or Behavioral Dysfunction
C1158261,Photosynthetic Electron Transport Chain Activity,Molecular Function
C1149630,Nad-Dependent Histone Deacetylase Activity,Genetic Function
C1739363,Prostatic Hypertrophy,Disease or Syndrome
C2244847,Sterol C-Methyltransferase Activity,Molecular Function
C1512433,Cervical High Grade Squamous Intraepithelial Lesion,Neoplastic Process
C1112776,Thyroid Hyperplasia,Disease or Syndrome
C0271561,Somatotropin Deficiency,Disease or Syndrome
C0013338,Pituitary Dwarfism,Disease or Syndrome
C0235394,Wasting,Disease or Syndrome
C2746015,Protein Serine/Threonine Kinase Activity,Molecular Function
C0155709,Atrial Fibrillation And Flutter,Pathologic Function
C1523887,Erythrocyte Maturation,Cell Function
C0007114,Malignant Neoplasm Of Skin,Neoplastic Process
C0339959,Chlamydial Pneumonia,Disease or Syndrome
C0153195,Acute Gonococcal Cervicitis,Disease or Syndrome
C0860175,Acute Proctitis,Disease or Syndrome
C1384514,Conn Syndrome,Disease or Syndrome
C0597849,Low Renin Hypertension,Pathologic Function
C2830455,Age-Related Physical Debility,Sign or Symptom
C0872084,Sarcopenia,Finding
C0026850,Muscular Dystrophy,Congenital Abnormality
C0718909,Compound Benzoin Tincture (Usp),Pharmacologic Substance
C1868996,Acute Transmural Myocardial Infarction,Disease or Syndrome
C0349766,Arteriovenous Shunt Occlusion,Disease or Syndrome
C0853398,Endocarditis Enterococcal,Disease or Syndrome
C0041351,Tularemia,Disease or Syndrome
C1276147,Metastatic Islet Cell Carcinoma,Neoplastic Process
C0262463,Increased Blood Lead Level,Finding
C0751861,Lead Poisoning; Nervous System; Childhood,Injury or Poisoning
C1838994,Rapid Onset,Finding
C0333295,Acute Ulcer,Acquired Abnormality
C0237938,Gastrointestinal Ulcer,Disease or Syndrome
C0042267,Vaginitis,Finding
C0155141,Acute Conjunctivitis,Disease or Syndrome
C0242147,Acute Urinary Tract Infection,Disease or Syndrome
C0008153,Chlamydiaceae Infections,Disease or Syndrome
C0028242,Nocardia Infections,Disease or Syndrome
C0030804,Pemphigoid; Benign Mucous Membrane,Disease or Syndrome
C0030805,Bullous Pemphigoid,Disease or Syndrome
C0009770,Inclusion Conjunctivitis,Disease or Syndrome
C0262421,Chronic Urinary Tract Infection,Disease or Syndrome
C0080107,Respiratory Tract Fistula,Anatomical Abnormality
C0410022,Supraspinatus Tendinitis,Disease or Syndrome
C0017658,Glomerulonephritis,Disease or Syndrome
C0238198,Gastrointestinal Stromal Tumors,Neoplastic Process
C0700310,Pupil Constriction,Organ or Tissue Function
C1150085,Mannosyl-Oligosaccharide 1;3-1;6-Alpha-Mannosidase Activity,Molecular Function
C0189458,Grafting Of Trachea,Therapeutic or Preventive Procedure
C0729958,Lung Transplant Rejection,Pathologic Function
C0339303,Corneal Graft Rejection,Disease or Syndrome
C1141940,Rejection Of Intestine Transplant,Pathologic Function
C0877157,Rejection Of Pancreas Transplant,Pathologic Function
